V1	V2	V3	V4
1	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/UBERON_0014596>	paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/MBA_439>
2	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/UBERON_0014596>	paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/HBA_4577>
3	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/UBERON_0014597>	paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/MBA_455>
4	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/UBERON_0014597>	paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/HBA_4578>
5	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/UBERON_0014595>	paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/MBA_464>
6	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/UBERON_0014595>	paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/HBA_4576>
7	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	paraventricular hypothalamic nucleus, parvicellular division	<http://purl.obolibrary.org/obo/MBA_94>
8	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	paraventricular nucleus of the hypothalamus, left, parvicellular division	<http://purl.obolibrary.org/obo/HBA_4586>
9	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	parvicellular division of paraventricular nucleus	<http://purl.obolibrary.org/obo/DHBA_10479>
10	parvocellular part of medial dorsal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002654>	ventral anterior nucleus of the thalamus, left, principal division	<http://purl.obolibrary.org/obo/HBA_4419>
