?supname	?sup	?subname	?sub	?inferred
"A13 dopaminergic cell group"	<http://purl.obolibrary.org/obo/UBERON_0036007>	"Dopaminergic A13 group"	<http://purl.obolibrary.org/obo/MBA_796>	"true"
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampal proper"	<http://purl.obolibrary.org/obo/DHBA_10296>	
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampus (cortex Ammonis)"	<http://purl.obolibrary.org/obo/DMBA_16124>	"true"
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"Ammon's horn"	<http://purl.obolibrary.org/obo/MBA_375>	"true"
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampal proper"	<http://purl.obolibrary.org/obo/PBA_128012244>	"true"
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"Barrington's nucleus"	<http://purl.obolibrary.org/obo/DHBA_12506>	"true"
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"nucleus of Barrington"	<http://purl.obolibrary.org/obo/DMBA_16973>	"true"
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"Barrington's nucleus"	<http://purl.obolibrary.org/obo/MBA_280>	"true"
"Brodmann (1909) area 10"	<http://purl.obolibrary.org/obo/UBERON_0013541>	"rostral sulcus"	<http://purl.obolibrary.org/obo/DHBA_146034836>	"true"
"Brodmann (1909) area 18"	<http://purl.obolibrary.org/obo/UBERON_0006473>	"parastriate cortex (area V2, area 18)"	<http://purl.obolibrary.org/obo/DHBA_10271>	
"Brodmann (1909) area 18"	<http://purl.obolibrary.org/obo/UBERON_0006473>	"parastriate cortex (V2, area 18)"	<http://purl.obolibrary.org/obo/PBA_10039>	"true"
"Brodmann (1909) area 24"	<http://purl.obolibrary.org/obo/UBERON_0006101>	"Anterior cingulate area"	<http://purl.obolibrary.org/obo/MBA_31>	"true"
"Brodmann (1909) area 32"	<http://purl.obolibrary.org/obo/UBERON_0013560>	"Prelimbic area"	<http://purl.obolibrary.org/obo/MBA_972>	"true"
"Brodmann (1909) area 36"	<http://purl.obolibrary.org/obo/UBERON_0006104>	"perirhinal-ectorhinal cortex"	<http://purl.obolibrary.org/obo/DMBA_16086>	"true"
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10297>	
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 field"	<http://purl.obolibrary.org/obo/HBA_12892>	
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"Field CA1"	<http://purl.obolibrary.org/obo/DMBA_16131>	"true"
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"Field CA1"	<http://purl.obolibrary.org/obo/MBA_382>	"true"
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 region"	<http://purl.obolibrary.org/obo/PBA_10058>	"true"
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"Field CA1, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16135>	"true"
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"Field CA1, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_391>	"true"
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"stratum lacunosum-moleculare of CA1"	<http://purl.obolibrary.org/obo/PBA_10062>	"true"
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"Field CA1, stratum oriens"	<http://purl.obolibrary.org/obo/DMBA_16132>	"true"
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"Field CA1, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_399>	"true"
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"stratum oriens of CA1"	<http://purl.obolibrary.org/obo/PBA_10059>	"true"
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"Field CA1, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16134>	"true"
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"Field CA1, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_415>	"true"
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"stratum radiatum of CA1"	<http://purl.obolibrary.org/obo/PBA_10061>	"true"
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10298>	
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 field"	<http://purl.obolibrary.org/obo/HBA_12893>	
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"Field CA2"	<http://purl.obolibrary.org/obo/DMBA_16136>	"true"
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"Field CA2"	<http://purl.obolibrary.org/obo/MBA_423>	"true"
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 region"	<http://purl.obolibrary.org/obo/PBA_10063>	"true"
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"Field CA2, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16137>	"true"
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"Field CA2, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_431>	"true"
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"stratum lacunosum-moleculare of CA2"	<http://purl.obolibrary.org/obo/PBA_10067>	"true"
