term,label
http://purl.obolibrary.org/obo/DMBA_17323,r6 part of basolateral intermediate zone
http://purl.obolibrary.org/obo/MBA_1096,"Anteromedial nucleus, dorsal part"
http://purl.obolibrary.org/obo/MBA_367,"Bed nuclei of the stria terminalis, posterior division"
http://purl.obolibrary.org/obo/MBA_902,"Posterolateral visual area, layer 5"
http://purl.obolibrary.org/obo/MBA_831,"Agranular insular area, dorsal part, layer 6b"
http://purl.obolibrary.org/obo/DMBA_16217,"paraventricular nucleus, peduncular or principal part"
http://purl.obolibrary.org/obo/DHBA_146034706,layer III of lateral olfactory area
http://purl.obolibrary.org/obo/MBA_784,corticospinal tract
http://purl.obolibrary.org/obo/HBA_12914,dorsomedial hypothalamic nucleus
http://purl.obolibrary.org/obo/HBA_4130,"paracentral lobule, posterior part, right, lateral bank of gyrus"
http://purl.obolibrary.org/obo/MBA_132,"Prelimbic area, layer 6b"
http://purl.obolibrary.org/obo/DMBA_15567,secondary prosencephalon
http://purl.obolibrary.org/obo/DMBA_16091,layer 5 of PRh-Ect
http://purl.obolibrary.org/obo/DMBA_16839,lobule 10 of cerebellar vermis
http://purl.obolibrary.org/obo/PBA_10025,white matter of caudal orbitofrontal cortex
http://purl.obolibrary.org/obo/DHBA_146034824,rostral parolfactory sulcus
http://purl.obolibrary.org/obo/DMBA_16567,superficial stratum of JcPL
http://purl.obolibrary.org/obo/DMBA_16990,intermediate stratum of r1BI
http://purl.obolibrary.org/obo/DMBA_15732,posterior part of MM
http://purl.obolibrary.org/obo/DHBA_12239,midbrain reticular formation
http://purl.obolibrary.org/obo/DMBA_17599,r11 part of the vestibular column
http://purl.obolibrary.org/obo/HBA_4436,"central medial nucleus of the thalamus, left"
http://purl.obolibrary.org/obo/HBA_9566,"dorsal accessory inferior olivary nucleus, right"
http://purl.obolibrary.org/obo/DMBA_15801,"bed nucleus of the stria terminalis, lateroseptal division"
http://purl.obolibrary.org/obo/DHBA_11575,layer 5 of DLG
http://purl.obolibrary.org/obo/HBA_4389,"paralmainar nucleus, left"
http://purl.obolibrary.org/obo/HBA_265504868,"dorsomedial tegmental area, left"
http://purl.obolibrary.org/obo/DHBA_267499107,layer III of area V3B
http://purl.obolibrary.org/obo/DHBA_12596,cribriform nucleus
http://purl.obolibrary.org/obo/MBA_10725,"Declive (VI), molecular layer"
http://purl.obolibrary.org/obo/DHBA_11068,layer VI of area 22r
http://purl.obolibrary.org/obo/DMBA_126651614,"ventricles, alar plate of evaginated telencephalic vesicle"
http://purl.obolibrary.org/obo/DHBA_266441563,pallidohypothalamic area
http://purl.obolibrary.org/obo/DMBA_17364,r7 part of spinal vestibular nucleus
http://purl.obolibrary.org/obo/DHBA_10233,rostral subdivision of area 39
http://purl.obolibrary.org/obo/DHBA_12761,lateral vestibulospinal tract
http://purl.obolibrary.org/obo/HBA_9379,inferior temporal sulcus
http://purl.obolibrary.org/obo/DHBA_10186,caudal portion of VFC (area 44)
http://purl.obolibrary.org/obo/DMBA_15614,ventricular zone of POH
http://purl.obolibrary.org/obo/MBA_1034,"Taenia tecta, dorsal part, layer 1"
http://purl.obolibrary.org/obo/MBA_872,Dorsal nucleus raphe
http://purl.obolibrary.org/obo/DHBA_11000,layer IV of area 7r
http://purl.obolibrary.org/obo/DHBA_12021,olfactory recess
http://purl.obolibrary.org/obo/MBA_220,"Main olfactory bulb, granule layer"
http://purl.obolibrary.org/obo/MBA_607344838,"Interpeduncular nucleus, caudal"
http://purl.obolibrary.org/obo/DHBA_10615,cingulate sulcus
http://purl.obolibrary.org/obo/DMBA_17419,r8 part of the vestibular column
http://purl.obolibrary.org/obo/MBA_173,Retrochiasmatic area
http://purl.obolibrary.org/obo/DMBA_16339,intercalate nucleus
http://purl.obolibrary.org/obo/DHBA_10583,genu of internal capsule
http://purl.obolibrary.org/obo/DHBA_13262,Purkinje cell layer of CBLA
http://purl.obolibrary.org/obo/DHBA_267498995,layer III of area 7ipr
http://purl.obolibrary.org/obo/HBA_272788859,pontine gamma nucleus
http://purl.obolibrary.org/obo/DHBA_11622,MZ in superolateral temporal cortex
http://purl.obolibrary.org/obo/MBA_438,"Field CA2, stratum oriens"
http://purl.obolibrary.org/obo/DMBA_17106,r3 part of parvicellular medial vestibular nucleus
http://purl.obolibrary.org/obo/DMBA_15820,ventricular zone of Dg
http://purl.obolibrary.org/obo/DMBA_17293,r6 part of the cochlear column
http://purl.obolibrary.org/obo/HBA_265505542,"amiculum of the olive, left"
http://purl.obolibrary.org/obo/MBA_1005,"Primary auditory area, layer 6b"
