V1	V2	V3	V4
1	meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/uberon_0035935>	meyer's loop of optic radiation 	<http://purl.obolibrary.org/obo/hba_265505214>
2	brainstem nucleus	<http://purl.obolibrary.org/obo/uberon_0006331>	nucleus of reuniens	<http://purl.obolibrary.org/obo/mba_181>
3	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	forebrain ipsilateral fiber tracts	<http://purl.obolibrary.org/obo/dhba_10568>
4	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	uncinate fasciculus	<http://purl.obolibrary.org/obo/dhba_10594>
5	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	dorsal longitudinal fasciculus	<http://purl.obolibrary.org/obo/dhba_12035>
6	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	cuneate fasciculus	<http://purl.obolibrary.org/obo/dhba_12731>
7	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	gracile fasciculus	<http://purl.obolibrary.org/obo/dhba_12739>
8	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	medial longitudinal fasciculus	<http://purl.obolibrary.org/obo/dhba_12764>
9	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	fasciculus retroflexus	<http://purl.obolibrary.org/obo/hba_12953>
10	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	cuneate fasciculus	<http://purl.obolibrary.org/obo/hba_265505550>
11	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	gracile fasciculus	<http://purl.obolibrary.org/obo/hba_265505586>
12	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	dorsal longitudinal fasciculus, right	<http://purl.obolibrary.org/obo/hba_9348>
13	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	medial longitudinal fasciculus, right	<http://purl.obolibrary.org/obo/hba_9351>
14	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	dentate area (dentate gyrus)	<http://purl.obolibrary.org/obo/dhba_10295>
15	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	fasciolar gyrus	<http://purl.obolibrary.org/obo/dhba_12175>
16	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	dentate gyrus	<http://purl.obolibrary.org/obo/hba_12891>
17	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricles	<http://purl.obolibrary.org/obo/dhba_10596>
18	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	ventricles, forebrain	<http://purl.obolibrary.org/obo/dmba_126651562>
19	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricle	<http://purl.obolibrary.org/obo/hba_9419>
20	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricle	<http://purl.obolibrary.org/obo/mba_81>
21	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	alveus	<http://purl.obolibrary.org/obo/dhba_10570>
22	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	olfactory nerve layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11326>
23	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	glomerular layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11327>
24	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	mitral cell layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11329>
25	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	inner plexiform layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11330>
26	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/dhba_12037>
27	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of thalamus	<http://purl.obolibrary.org/obo/dhba_12038>
28	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/dhba_12062>
29	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of thalamus	<http://purl.obolibrary.org/obo/dhba_12063>
30	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/hba_265505086>
31	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of thalamus	<http://purl.obolibrary.org/obo/hba_265505098>
32	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/hba_265505122>
33	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of thalamus	<http://purl.obolibrary.org/obo/hba_265505134>
34	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	alveus	<http://purl.obolibrary.org/obo/hba_9234>
35	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	neural plate	<http://purl.obolibrary.org/obo/dhba_10153>
36	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	neural tube	<http://purl.obolibrary.org/obo/dhba_10154>
37	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11276>
38	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11277>
39	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11278>
40	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11279>
41	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11281>
42	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11282>
43	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11283>
44	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11284>
45	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11286>
46	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11287>
47	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11288>
48	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11289>
49	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11291>
50	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11292>
51	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11293>
52	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11294>
53	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11296>
54	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11297>
55	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11299>
56	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11300>
57	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11302>
58	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11303>
59	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11305>
60	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11306>
61	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	septum pellucidum	<http://purl.obolibrary.org/obo/dhba_12098>
62	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	roof plate of midbrain	<http://purl.obolibrary.org/obo/dhba_12320>
63	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	cerebellar plate	<http://purl.obolibrary.org/obo/dhba_12698>
64	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441271>
65	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441283>
66	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441287>
