o,s,olabel,slabel,user_olabel,user_slabel
UBERON:0002285,UBERON:0002616,telencephalic ventricle,regional part of brain,http://purl.obolibrary.org/obo/DMBA_126651562,http://purl.obolibrary.org/obo/DMBA_126651634
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_126651562,http://purl.obolibrary.org/obo/DMBA_126651634
UBERON:0003040,UBERON:0002551,central gray substance of midbrain,interstitial nucleus of Cajal,http://purl.obolibrary.org/obo/MBA_795,http://purl.obolibrary.org/obo/MBA_67
UBERON:0002616,UBERON:0002551,regional part of brain,interstitial nucleus of Cajal,http://purl.obolibrary.org/obo/MBA_795,http://purl.obolibrary.org/obo/MBA_67
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16172,http://purl.obolibrary.org/obo/DMBA_16173
UBERON:0001953,UBERON:0002616,presubiculum,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16172,http://purl.obolibrary.org/obo/DMBA_16173
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16277,http://purl.obolibrary.org/obo/DMBA_16282
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16829,http://purl.obolibrary.org/obo/DMBA_16838
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_918,http://purl.obolibrary.org/obo/MBA_52
UBERON:0007225,UBERON:0002616,lateral entorhinal cortex,regional part of brain,http://purl.obolibrary.org/obo/MBA_918,http://purl.obolibrary.org/obo/MBA_52
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220730,http://purl.obolibrary.org/obo/DMBA_17173
UBERON:0001946,UBERON:0002563,inferior colliculus,central nucleus of inferior colliculus,http://purl.obolibrary.org/obo/MBA_4,http://purl.obolibrary.org/obo/MBA_811
UBERON:0002616,UBERON:0002563,regional part of brain,central nucleus of inferior colliculus,http://purl.obolibrary.org/obo/MBA_4,http://purl.obolibrary.org/obo/MBA_811
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_871,http://purl.obolibrary.org/obo/MBA_285
UBERON:0007703,UBERON:0002616,spinothalamic tract,regional part of brain,http://purl.obolibrary.org/obo/MBA_871,http://purl.obolibrary.org/obo/MBA_285
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16399,http://purl.obolibrary.org/obo/DMBA_16406
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17487,http://purl.obolibrary.org/obo/DMBA_111220876
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17415,http://purl.obolibrary.org/obo/DMBA_112892385
UBERON:0005585,UBERON:0002616,rhombomere 7 floor plate,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17415,http://purl.obolibrary.org/obo/DMBA_112892385
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15842,http://purl.obolibrary.org/obo/DMBA_15843
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16528,http://purl.obolibrary.org/obo/DMBA_16529
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16549,http://purl.obolibrary.org/obo/DMBA_16551
UBERON:0009050,UBERON:0002616,nucleus of solitary tract,regional part of brain,http://purl.obolibrary.org/obo/MBA_651,http://purl.obolibrary.org/obo/MBA_682
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_651,http://purl.obolibrary.org/obo/MBA_682
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220854,http://purl.obolibrary.org/obo/DMBA_112892393
UBERON:0000411,UBERON:0035890,visual cortex,postrhinal area,http://purl.obolibrary.org/obo/MBA_669,http://purl.obolibrary.org/obo/MBA_312782628
UBERON:0002616,UBERON:0035890,regional part of brain,postrhinal area,http://purl.obolibrary.org/obo/MBA_669,http://purl.obolibrary.org/obo/MBA_312782628
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16652,http://purl.obolibrary.org/obo/DMBA_16654
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16762,http://purl.obolibrary.org/obo/DMBA_16763
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17715,http://purl.obolibrary.org/obo/DMBA_17716
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_112892431,http://purl.obolibrary.org/obo/DMBA_112892437
UBERON:0008933,UBERON:0002616,primary somatosensory cortex,regional part of brain,http://purl.obolibrary.org/obo/MBA_322,http://purl.obolibrary.org/obo/MBA_793
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_322,http://purl.obolibrary.org/obo/MBA_793
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15566,http://purl.obolibrary.org/obo/DMBA_16308
UBERON:0001890,UBERON:0002616,forebrain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15566,http://purl.obolibrary.org/obo/DMBA_16308
UBERON:0010415,UBERON:0035875,barrel cortex,primary somatosensory area barrel field layer 6b,http://purl.obolibrary.org/obo/MBA_329,http://purl.obolibrary.org/obo/MBA_1062
UBERON:0002616,UBERON:0035875,regional part of brain,primary somatosensory area barrel field layer 6b,http://purl.obolibrary.org/obo/MBA_329,http://purl.obolibrary.org/obo/MBA_1062
UBERON:0002436,UBERON:0002616,primary visual cortex,regional part of brain,http://purl.obolibrary.org/obo/MBA_385,http://purl.obolibrary.org/obo/MBA_778
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_385,http://purl.obolibrary.org/obo/MBA_778
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17735,http://purl.obolibrary.org/obo/DMBA_17786
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16364,http://purl.obolibrary.org/obo/DMBA_16367
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15886,http://purl.obolibrary.org/obo/DMBA_15888
UBERON:0035890,UBERON:0002616,postrhinal area,regional part of brain,http://purl.obolibrary.org/obo/MBA_312782628,http://purl.obolibrary.org/obo/MBA_312782648
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_312782628,http://purl.obolibrary.org/obo/MBA_312782648
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16489,http://purl.obolibrary.org/obo/DMBA_16492
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220904,http://purl.obolibrary.org/obo/DMBA_17554
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15666,http://purl.obolibrary.org/obo/DMBA_15667
