V1	V2	V3	V4
1	A13 dopaminergic cell group	<http://purl.obolibrary.org/obo/UBERON_0036007>	Dopaminergic A13 group	<http://purl.obolibrary.org/obo/MBA_796>
2	Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	Ammon's horn	<http://purl.obolibrary.org/obo/MBA_375>
3	Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	Barrington's nucleus	<http://purl.obolibrary.org/obo/MBA_280>
4	Brodmann (1909) area 24	<http://purl.obolibrary.org/obo/UBERON_0006101>	Anterior cingulate area	<http://purl.obolibrary.org/obo/MBA_31>
5	Brodmann (1909) area 32	<http://purl.obolibrary.org/obo/UBERON_0013560>	Prelimbic area	<http://purl.obolibrary.org/obo/MBA_972>
6	CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	Field CA1	<http://purl.obolibrary.org/obo/MBA_382>
7	CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	Field CA1, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_391>
8	CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	Field CA1, stratum oriens	<http://purl.obolibrary.org/obo/MBA_399>
9	CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	Field CA1, stratum radiatum	<http://purl.obolibrary.org/obo/MBA_415>
10	CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	Field CA2	<http://purl.obolibrary.org/obo/MBA_423>
11	CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	Field CA2, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_431>
12	CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	Field CA2, stratum oriens	<http://purl.obolibrary.org/obo/MBA_438>
13	CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	Field CA2, stratum radiatum	<http://purl.obolibrary.org/obo/MBA_454>
14	CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	Field CA3	<http://purl.obolibrary.org/obo/MBA_463>
15	CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	Field CA3, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_471>
