V1	V2	V3	V4
1	meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/uberon_0035935>	meyer's loop of optic radiation 	<http://purl.obolibrary.org/obo/hba_265505214>
2	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014596>	paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/hba_4577>
3	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014596>	paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/mba_439>
4	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014597>	paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/hba_4578>
5	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014597>	paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/mba_455>
6	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/uberon_0014595>	paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/hba_4576>
7	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/uberon_0014595>	paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/mba_464>
8	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	parvicellular division of paraventricular nucleus	<http://purl.obolibrary.org/obo/dhba_10479>
9	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	paraventricular nucleus of the hypothalamus, left, parvicellular division	<http://purl.obolibrary.org/obo/hba_4586>
10	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	paraventricular hypothalamic nucleus, parvicellular division	<http://purl.obolibrary.org/obo/mba_94>
11	parvocellular part of medial dorsal nucleus	<http://purl.obolibrary.org/obo/uberon_0002654>	ventral anterior nucleus of the thalamus, left, principal division	<http://purl.obolibrary.org/obo/hba_4419>
12	parvocellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/uberon_0003018>	parvocellular division of vpm	<http://purl.obolibrary.org/obo/dhba_146034766>
13	parvocellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/uberon_0003018>	ventral posteromedial nucleus of the thalamus, parvicellular part	<http://purl.obolibrary.org/obo/mba_741>
14	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	forebrain (prosencephalon)	<http://purl.obolibrary.org/obo/dhba_10156>
15	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	gray matter of forebrain	<http://purl.obolibrary.org/obo/dhba_10157>
16	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	telencephalon	<http://purl.obolibrary.org/obo/dhba_10158>
17	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	neocortex (isocortex)	<http://purl.obolibrary.org/obo/dhba_10160>
18	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal neocortex	<http://purl.obolibrary.org/obo/dhba_10161>
19	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	posterior frontal cortex (motor cortex)	<http://purl.obolibrary.org/obo/dhba_10162>
20	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	premotor cortex (area 6)	<http://purl.obolibrary.org/obo/dhba_10168>
21	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prefrontal cortex	<http://purl.obolibrary.org/obo/dhba_10172>
22	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsolateral prefrontal cortex	<http://purl.obolibrary.org/obo/dhba_10173>
23	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	parietal neocortex	<http://purl.obolibrary.org/obo/dhba_10208>
24	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	primary somatosensory cortex (area s1, areas 3,1,2)	<http://purl.obolibrary.org/obo/dhba_10209>
25	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	posterior parietal cortex	<http://purl.obolibrary.org/obo/dhba_10214>
26	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	posterodorsal (superior) parietal cortex	<http://purl.obolibrary.org/obo/dhba_10215>
27	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	temporal neocortex	<http://purl.obolibrary.org/obo/dhba_10235>
28	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	primary auditory cortex (core)	<http://purl.obolibrary.org/obo/dhba_10236>
29	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	secondary auditory cortex (belt, area 42)	<http://purl.obolibrary.org/obo/dhba_10239>
30	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	occipital neocortex	<http://purl.obolibrary.org/obo/dhba_10268>
31	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	parastriate cortex (area v2, area 18)	<http://purl.obolibrary.org/obo/dhba_10271>
32	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	cingulate neocortex	<http://purl.obolibrary.org/obo/dhba_10277>
33	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	posterior (caudal) cingulate cortex	<http://purl.obolibrary.org/obo/dhba_10285>
34	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	insular neocortex	<http://purl.obolibrary.org/obo/dhba_10288>
35	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dysgranular insular cortex	<http://purl.obolibrary.org/obo/dhba_10289>
36	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	granular insular cortex	<http://purl.obolibrary.org/obo/dhba_10290>
37	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	allocortex	<http://purl.obolibrary.org/obo/dhba_10292>
38	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	archicortex	<http://purl.obolibrary.org/obo/dhba_10293>
39	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	hippocampus (hippocampal formation)	<http://purl.obolibrary.org/obo/dhba_10294>
40	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dentate area (dentate gyrus)	<http://purl.obolibrary.org/obo/dhba_10295>
41	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	hippocampal proper	<http://purl.obolibrary.org/obo/dhba_10296>
42	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ca1 region of hipp	<http://purl.obolibrary.org/obo/dhba_10297>
43	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ca2 region of hipp	<http://purl.obolibrary.org/obo/dhba_10298>
44	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ca3 region of hipp	<http://purl.obolibrary.org/obo/dhba_10299>
45	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ca4 region of hipp	<http://purl.obolibrary.org/obo/dhba_10300>
46	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	subicular cortex	<http://purl.obolibrary.org/obo/dhba_10301>
47	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	subiculum	<http://purl.obolibrary.org/obo/dhba_10302>
48	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	indusium griseum	<http://purl.obolibrary.org/obo/dhba_10304>
49	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	taenia tectum	<http://purl.obolibrary.org/obo/dhba_10305>
50	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	paleocortex (semicortex)	<http://purl.obolibrary.org/obo/dhba_10306>
51	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	olfactory bulb	<http://purl.obolibrary.org/obo/dhba_10307>
52	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	piriform cortex	<http://purl.obolibrary.org/obo/dhba_10311>
53	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	periallocortex	<http://purl.obolibrary.org/obo/dhba_10313>
54	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	parasubicular cortex (parasubiculum)	<http://purl.obolibrary.org/obo/dhba_10316>
55	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	retrosplenial cortex	<http://purl.obolibrary.org/obo/dhba_10324>
56	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	agranular insular cortex (area iag)	<http://purl.obolibrary.org/obo/dhba_10328>
57	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	basal nuclei (basal ganglia)	<http://purl.obolibrary.org/obo/dhba_10332>
58	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	striatum	<http://purl.obolibrary.org/obo/dhba_10333>
59	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	head of caudate	<http://purl.obolibrary.org/obo/dhba_10335>
60	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	body of caudate	<http://purl.obolibrary.org/obo/dhba_10336>
61	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	tail of caudate	<http://purl.obolibrary.org/obo/dhba_10337>
62	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	core of nucleus accumbens	<http://purl.obolibrary.org/obo/dhba_10340>
63	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	shell of nucleus accumbens	<http://purl.obolibrary.org/obo/dhba_10341>
64	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	internal segment of globus pallidus	<http://purl.obolibrary.org/obo/dhba_10344>
65	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ventral pallidus	<http://purl.obolibrary.org/obo/dhba_10345>
66	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	claustrum	<http://purl.obolibrary.org/obo/dhba_10346>
67	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ventral claustrum	<http://purl.obolibrary.org/obo/dhba_10348>
68	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	basal forebrain	<http://purl.obolibrary.org/obo/dhba_10349>
