V1	V2	V3	V4	V5
1	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	neural plate	<http://purl.obolibrary.org/obo/dhba_10153>	true
2	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	neural tube	<http://purl.obolibrary.org/obo/dhba_10154>	true
3	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	primary motor cortex (area m1, area 4)	<http://purl.obolibrary.org/obo/dhba_10163>	true
4	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	head and face region of m1	<http://purl.obolibrary.org/obo/dhba_10164>	true
5	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	upper limb region of m1	<http://purl.obolibrary.org/obo/dhba_10165>	true
6	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	trunk region of m1	<http://purl.obolibrary.org/obo/dhba_10166>	true
7	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lower limb region of m1	<http://purl.obolibrary.org/obo/dhba_10167>	true
8	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterodorsal subdivision of area 6	<http://purl.obolibrary.org/obo/dhba_10169>	true
9	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lateroventral subdivision of area 6	<http://purl.obolibrary.org/obo/dhba_10170>	true
10	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial subdivision of area 6 (area mii)	<http://purl.obolibrary.org/obo/dhba_10171>	true
11	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	caudal portion of dfc (area 8)	<http://purl.obolibrary.org/obo/dhba_10174>	true
12	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterodorsal subdivision of area 8	<http://purl.obolibrary.org/obo/dhba_10175>	true
13	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lateroventral subdivision of area 8	<http://purl.obolibrary.org/obo/dhba_10176>	true
14	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial subdivision of area 8	<http://purl.obolibrary.org/obo/dhba_10177>	true
15	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrodorsal portion of dfc (area 9)	<http://purl.obolibrary.org/obo/dhba_10178>	true
16	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lateral subdivision of area 9	<http://purl.obolibrary.org/obo/dhba_10179>	true
17	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial subdivision of area 9	<http://purl.obolibrary.org/obo/dhba_10180>	true
18	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	intermediate portion of dfc (area 9/46)	<http://purl.obolibrary.org/obo/dhba_10181>	true
19	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal subdivision of a9/46	<http://purl.obolibrary.org/obo/dhba_10182>	true
20	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	ventral subdivision of a9/46	<http://purl.obolibrary.org/obo/dhba_10183>	true
