superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
A13 dopaminergic cell group	<http://purl.obolibrary.org/obo/UBERON_0036007>	dopaminergic A13 group	<http://purl.obolibrary.org/obo/MBA_796>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampal proper	<http://purl.obolibrary.org/obo/DHBA_10296>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampus (cortex Ammonis)	<http://purl.obolibrary.org/obo/DMBA_16124>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	ammon's horn	<http://purl.obolibrary.org/obo/MBA_375>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampal proper	<http://purl.obolibrary.org/obo/PBA_128012244>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	Barrington's nucleus	<http://purl.obolibrary.org/obo/DHBA_12506>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	nucleus of Barrington	<http://purl.obolibrary.org/obo/DMBA_16973>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	barrington's nucleus	<http://purl.obolibrary.org/obo/MBA_280>	OK			
Brodmann (1909) area 10	<http://purl.obolibrary.org/obo/UBERON_0013541>	rostral sulcus	<http://purl.obolibrary.org/obo/DHBA_146034836>	nok	rostral sulcus (http://purl.obolibrary.org/obo/UBERON_0025763)	Add Term	
Brodmann (1909) area 18	<http://purl.obolibrary.org/obo/UBERON_0006473>	parastriate cortex (area V2, area 18)	<http://purl.obolibrary.org/obo/DHBA_10271>	OK			
Brodmann (1909) area 18	<http://purl.obolibrary.org/obo/UBERON_0006473>	parastriate cortex (V2, area 18)	<http://purl.obolibrary.org/obo/PBA_10039>	OK			
Brodmann (1909) area 24	<http://purl.obolibrary.org/obo/UBERON_0006101>	anterior cingulate area	http://purl.obolibrary.org/obo/MBA_31	nok	anterior cingulate area (http://purl.obolibrary.org/obo/UBERON_0006101)	Not Brodmann in Mouse	Verified
Brodmann (1909) area 32	<http://purl.obolibrary.org/obo/UBERON_0013560>	prelimbic area	http://purl.obolibrary.org/obo/MBA_972	nok	prelimbic area (http://purl.obolibrary.org/obo/UBERON_0013560)	Not Brodmann in Mouse	Verified
Brodmann (1909) area 36	<http://purl.obolibrary.org/obo/UBERON_0006104>	perirhinal-ectorhinal cortex	http://purl.obolibrary.org/obo/DMBA_16086	nok		Not Brodmann in Mouse	Wrong
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 region of Hipp	<http://purl.obolibrary.org/obo/DHBA_10297>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	Field CA1	<http://purl.obolibrary.org/obo/DMBA_16131>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 field	<http://purl.obolibrary.org/obo/HBA_12892>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	field CA1	<http://purl.obolibrary.org/obo/MBA_382>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 region	<http://purl.obolibrary.org/obo/PBA_10058>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	Field CA1, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/DMBA_16135>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	field CA1, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_391>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	stratum lacunosum-moleculare of CA1	<http://purl.obolibrary.org/obo/PBA_10062>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	Field CA1, stratum oriens	<http://purl.obolibrary.org/obo/DMBA_16132>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	field CA1, stratum oriens	<http://purl.obolibrary.org/obo/MBA_399>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	stratum oriens of CA1	<http://purl.obolibrary.org/obo/PBA_10059>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	Field CA1, stratum radiatum	<http://purl.obolibrary.org/obo/DMBA_16134>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	field CA1, stratum radiatum	<http://purl.obolibrary.org/obo/MBA_415>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	stratum radiatum of CA1	<http://purl.obolibrary.org/obo/PBA_10061>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 region of Hipp	<http://purl.obolibrary.org/obo/DHBA_10298>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	Field CA2	<http://purl.obolibrary.org/obo/DMBA_16136>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 field	<http://purl.obolibrary.org/obo/HBA_12893>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	field CA2	<http://purl.obolibrary.org/obo/MBA_423>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 region	<http://purl.obolibrary.org/obo/PBA_10063>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	Field CA2, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/DMBA_16137>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	field CA2, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_431>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	stratum lacunosum-moleculare of CA2	<http://purl.obolibrary.org/obo/PBA_10067>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	Field CA2, stratum oriens	<http://purl.obolibrary.org/obo/DMBA_16138>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	field CA2, stratum oriens	<http://purl.obolibrary.org/obo/MBA_438>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	stratum oriens of CA2	<http://purl.obolibrary.org/obo/PBA_10064>	OK			
