ID	Label	SuperClass	SuperClass Label	 Source
ID	A IAO:0000589	SC %	>A rdfs:label 	A oboInOwl:source
http://purl.obolibrary.org/obo/MBA_796	dopaminergic A13 group	http://purl.obolibrary.org/obo/UBERON_0036007	A13 dopaminergic cell group	
http://purl.obolibrary.org/obo/DMBA_16124	hippocampus (cortex Ammonis)	http://purl.obolibrary.org/obo/UBERON_0001954	Ammon's horn	
http://purl.obolibrary.org/obo/MBA_375	ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	Ammon's horn	
http://purl.obolibrary.org/obo/DMBA_16131	Field CA1	http://purl.obolibrary.org/obo/UBERON_0003881	CA1 field of hippocampus	
http://purl.obolibrary.org/obo/MBA_382	field CA1	http://purl.obolibrary.org/obo/UBERON_0003881	CA1 field of hippocampus	
http://purl.obolibrary.org/obo/DMBA_16136	Field CA2	http://purl.obolibrary.org/obo/UBERON_0003882	CA2 field of hippocampus	
http://purl.obolibrary.org/obo/MBA_423	field CA2	http://purl.obolibrary.org/obo/UBERON_0003882	CA2 field of hippocampus	
http://purl.obolibrary.org/obo/DMBA_16141	Field CA3	http://purl.obolibrary.org/obo/UBERON_0003883	CA3 field of hippocampus	
http://purl.obolibrary.org/obo/MBA_463	field CA3	http://purl.obolibrary.org/obo/UBERON_0003883	CA3 field of hippocampus	
http://purl.obolibrary.org/obo/DMBA_16144	"Field CA3, stratum lucidum"	http://purl.obolibrary.org/obo/UBERON_0014560	CA3 stratum lucidum	
http://purl.obolibrary.org/obo/MBA_710	abducens nerve	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve	
http://purl.obolibrary.org/obo/MBA_568	accessory abducens nucleus	http://purl.obolibrary.org/obo/UBERON_0035976	accessory abducens nucleus	
http://purl.obolibrary.org/obo/DMBA_15957	accessory olfactory bulb	http://purl.obolibrary.org/obo/UBERON_0004069	accessory olfactory bulb	
http://purl.obolibrary.org/obo/MBA_151	accessory olfactory bulb	http://purl.obolibrary.org/obo/UBERON_0004069	accessory olfactory bulb	
http://purl.obolibrary.org/obo/DMBA_ENTITY	DMBA entity	http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	
http://purl.obolibrary.org/obo/MBA_ENTITY	MBA entity	http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	
http://purl.obolibrary.org/obo/MBA_892	ansa peduncularis	http://purl.obolibrary.org/obo/UBERON_0034896	ansa peduncularis	
http://purl.obolibrary.org/obo/MBA_1017	ansiform lobule	http://purl.obolibrary.org/obo/UBERON_0005348	ansiform lobule	
http://purl.obolibrary.org/obo/MBA_1056	crus 1	http://purl.obolibrary.org/obo/UBERON_0005976	ansiform lobule crus I	
http://purl.obolibrary.org/obo/MBA_1064	crus 2	http://purl.obolibrary.org/obo/UBERON_0005977	ansiform lobule crus II	
http://purl.obolibrary.org/obo/MBA_359	"bed nuclei of the stria terminalis, anterior division"	http://purl.obolibrary.org/obo/UBERON_0011173	anterior division of bed nuclei of stria terminalis	
http://purl.obolibrary.org/obo/MBA_700	"anterior hypothalamic nucleus, anterior part"	http://purl.obolibrary.org/obo/UBERON_0014589	anterior nucleus of hypothalamus anterior part	
http://purl.obolibrary.org/obo/MBA_708	"anterior hypothalamic nucleus, central part"	http://purl.obolibrary.org/obo/UBERON_0014590	anterior nucleus of hypothalamus central part	
http://purl.obolibrary.org/obo/MBA_716	"anterior hypothalamic nucleus, dorsal part"	http://purl.obolibrary.org/obo/UBERON_0014592	anterior nucleus of hypothalamus dorsal part	
http://purl.obolibrary.org/obo/DMBA_16240	posterior part of anterior hypothalamic nucleus	http://purl.obolibrary.org/obo/UBERON_0014591	anterior nucleus of hypothalamus posterior part	
http://purl.obolibrary.org/obo/MBA_724	"anterior hypothalamic nucleus, posterior part"	http://purl.obolibrary.org/obo/UBERON_0014591	anterior nucleus of hypothalamus posterior part	
