ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
ID	A IAO:0000589	SC part_of some % and (part_of some NCBITaxon:10090)	EC % and (part_of some NCBITaxon:10090)	>A rdfs:label	A oboInOwl:status	>A oboInOwl:source
http://purl.obolibrary.org/obo/DMBA_112892315	lateral wings of the dorsal raphe nucleus	http://purl.obolibrary.org/obo/UBERON_0002043		dorsal raphe nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651562	"ventricles, forebrain"		http://purl.obolibrary.org/obo/UBERON_0002285	telencephalic ventricle	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651566	"ventricles, secondary prosencephalon"	http://purl.obolibrary.org/obo/UBERON_0036218		secondary prosencephalon 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651570	"ventricles, rostral secondary prosencephalon"	http://purl.obolibrary.org/obo/UBERON_0036218		secondary prosencephalon 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651602	"ventricles, caudal secondary prosencephalon"	http://purl.obolibrary.org/obo/UBERON_0036218		secondary prosencephalon 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651722	"ventricles, midbrain"		http://purl.obolibrary.org/obo/UBERON_0002289	midbrain cerebral aqueduct	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651726	"ventricles, mesomere 1"	http://purl.obolibrary.org/obo/UBERON_0019272		mesomere 1 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651754	"ventricles, mesomere 2 (preisthmus or caudal midbrain)"	http://purl.obolibrary.org/obo/UBERON_0019274		mesomere 2 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126651782	"ventricles, hindbrain"		http://purl.obolibrary.org/obo/UBERON_0002422	fourth ventricle	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_126652042	"ventricles, spinal cord"		http://purl.obolibrary.org/obo/UBERON_0002291	central canal of spinal cord	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_127201621	r11 part of the inferior olive	http://purl.obolibrary.org/obo/UBERON_0002127		inferior olivary complex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15565	neural plate		http://purl.obolibrary.org/obo/UBERON_0003075	neural plate	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15566	forebrain		http://purl.obolibrary.org/obo/UBERON_0001890	forebrain	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15567	secondary prosencephalon		http://purl.obolibrary.org/obo/UBERON_0036218	secondary prosencephalon	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15577	preoptic area		http://purl.obolibrary.org/obo/UBERON_0001928	preoptic area	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15582	vascular organ of the lamina terminalis		http://purl.obolibrary.org/obo/UBERON_0002689	supraoptic crest	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15604	medial preoptic nucleus		http://purl.obolibrary.org/obo/UBERON_0002035	medial preoptic nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15604	medial preoptic nucleus		http://purl.obolibrary.org/obo/UBERON_0002035	medial preoptic nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15633	supraoptic nucleus		http://purl.obolibrary.org/obo/UBERON_0001929	supraoptic nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15633	supraoptic nucleus		http://purl.obolibrary.org/obo/UBERON_0001929	supraoptic nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15652	optic fiber layer		http://purl.obolibrary.org/obo/UBERON_0001793	nerve fiber layer of retina	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15652	optic fiber layer		http://purl.obolibrary.org/obo/UBERON_0001793	nerve fiber layer of retina 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15652	optic fiber layer		http://purl.obolibrary.org/obo/UBERON_0001793	nerve fiber layer of retina 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15660	suprachiasmatic nucleus		http://purl.obolibrary.org/obo/UBERON_0002034	suprachiasmatic nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15660	suprachiasmatic nucleus		http://purl.obolibrary.org/obo/UBERON_0002034	suprachiasmatic nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15662	anterior hypothalamic nucleus		http://purl.obolibrary.org/obo/UBERON_0002634	anterior nucleus of hypothalamus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15662	anterior hypothalamic nucleus		http://purl.obolibrary.org/obo/UBERON_0002634	anterior nucleus of hypothalamus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15662	anterior hypothalamic nucleus		http://purl.obolibrary.org/obo/UBERON_0002634	anterior nucleus of hypothalamus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15665	tuber cinereum area		http://purl.obolibrary.org/obo/UBERON_0002620	tuber cinereum	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15675	ventromedial hypothalamic nucleus		http://purl.obolibrary.org/obo/UBERON_0001935	ventromedial nucleus of hypothalamus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15675	ventromedial hypothalamic nucleus		http://purl.obolibrary.org/obo/UBERON_0001935	ventromedial nucleus of hypothalamus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15689	median eminence		http://purl.obolibrary.org/obo/UBERON_0002197	median eminence of neurohypophysis	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15690	infundibulum		http://purl.obolibrary.org/obo/UBERON_0002434	pituitary stalk	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15691	neurohypophysis		http://purl.obolibrary.org/obo/UBERON_0002198	neurohypophysis	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15719	dorsal premammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0007767	dorsal premammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15719	dorsal premammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0007767	dorsal premammillary nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15723	mammillary area		http://purl.obolibrary.org/obo/UBERON_0002206	mammillary body	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15729	medial mammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0001939	medial mammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15729	medial mammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0001939	medial mammillary nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15730	medial part of MM		http://purl.obolibrary.org/obo/UBERON_0002632	medial part of medial mammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15731	lateral part of MM		http://purl.obolibrary.org/obo/UBERON_0002664	lateral part of medial mammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15734	lateral mammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0001938	lateral mammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15734	lateral mammillary nucleus		http://purl.obolibrary.org/obo/UBERON_0001938	lateral mammillary nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15743	"subfornical organ, circumventricular ependymal specialization"	http://purl.obolibrary.org/obo/UBERON_0002219		subfornical organ 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15746	"subfornical organ, periventricular part"	http://purl.obolibrary.org/obo/UBERON_0002219		subfornical organ 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15751	subpallium		http://purl.obolibrary.org/obo/UBERON_0000204	ventral part of telencephalon	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15757	"lateral septal nucleus, ventral part"	http://purl.obolibrary.org/obo/UBERON_0002667		lateral septal nucleus 	Verified	https://ror.org/03cpe7c52
