ID	xref	prefLabel
ID	A OboInOwl:hasDbXref	A skos:prefLabel
http://purl.obolibrary.org/obo/UBERON_0022248		cerebral nerve fasciculus
http://purl.obolibrary.org/obo/DHBA_146034754	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034754	posteroventral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034754	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034754	posteroventral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034754	http://atlas.brain-map.org/atlas?atlas=3#structure=146034754	posteroventral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034754	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034754	posteroventral putamen  ( human dev )
http://purl.obolibrary.org/obo/CHEBI_25213		metal cation
http://purl.obolibrary.org/obo/UBERON_0011591		tract of diencephalon
http://purl.obolibrary.org/obo/UBERON_0011590		commissure of diencephalon
http://purl.obolibrary.org/obo/DHBA_146034750	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034750	ventral part of rostral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034750	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034750	ventral part of rostral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034750	http://atlas.brain-map.org/atlas?atlas=3#structure=146034750	ventral part of rostral putamen  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034750	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034750	ventral part of rostral putamen  ( human dev )
http://purl.obolibrary.org/obo/UBERON_0011595		jaw region
http://purl.obolibrary.org/obo/UBERON_0035562		intermediate pretectal nucleus
http://purl.obolibrary.org/obo/UBERON_0010262		operculum of brain
http://purl.obolibrary.org/obo/HBA_265504406	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504406	olfactory area  ( human )
http://purl.obolibrary.org/obo/UBERON_0011592		future upper lip
http://purl.obolibrary.org/obo/UBERON_0011597		bone of upper jaw
http://purl.obolibrary.org/obo/UBERON_0011596		future lower lip
http://purl.obolibrary.org/obo/UBERON_0010258		mesenchyme from rhombencephalic neural crest
http://purl.obolibrary.org/obo/UBERON_0010259		1st arch mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0022250		subcallosal fasciculus
http://purl.obolibrary.org/obo/UBERON_0022252		precentral sulcus
http://purl.obolibrary.org/obo/UBERON_0022254		ventral thalamic fasciculus
http://purl.obolibrary.org/obo/UBERON_0022256		subthalamic fasciculus
http://purl.obolibrary.org/obo/DHBA_146034758	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034758	entopeduncular nucleus  ( human dev )
